action,observations,win_rate_5d,average_5d,median_5d,average_20d
BUY GRADUALLY,4,0.5,-0.008210197585998308,-0.012209928968916817,-0.0013836942036772049
HOLD / NO EXTRA BUYING,374,0.5748663101604278,0.0015013644250764563,0.003112990659289605,0.004662156201741977
INSUFFICIENT EVIDENCE,1006,0.6013916500994035,0.002931492565295232,0.004792868548943563,0.012521884945460788
WAIT ON BUYING,2,0.5,-0.00014786816524930968,-0.00014786816524930968,0.004108961015508061
