fold,train_end,test_start,test_end,train_rows,test_rows,actual_up_rate_5d,average_return_5d,brier_score,baseline_brier_score,relative_brier_improvement,log_loss,mean_predicted_probability,calibration_gap,buy_gradually_rows,buy_gradually_average_5d,buy_gradually_excess_vs_fold,wait_rows,wait_average_5d,wait_excess_vs_fold,status
2024,2023-12-31,2024-01-01,2024-12-31,729,252,0.6349206349206349,0.003872768365974413,0.23414427938440027,0.2362880222962527,0.009072583921180155,0.6608849228703869,0.5664375531421931,-0.06848308177844176,0,,,1,0.008308308422839028,0.004435540056864615,REVIEW
2025,2024-12-31,2025-01-01,2025-12-31,981,250,0.628,0.0030015826954164753,0.24632694582918266,0.23554339795565282,-0.04578157557003615,0.6863347986912883,0.5751260412506088,-0.05287395874939116,2,-0.028849354538707905,-0.03185093723412438,1,-0.008604044753337647,-0.011605627448754123,REVIEW
2026_ytd,2025-12-31,2026-01-01,2026-12-31,1231,150,0.6066666666666667,0.0037740995384825315,0.23460068298430442,0.23883146436173733,0.017714505870235375,0.6617287847697626,0.5963604582152688,-0.010306208451397847,2,0.01242895936671129,0.008654859828228757,0,,,REVIEW
