fold,horizon,training_cutoff,training_rows,prediction_rows,realized_rows,mean_actual_return,mean_predicted_return,minimum_predicted_return,maximum_predicted_return,mae,rmse
2024,5,2023-12-31,729,252,252,0.003872768365974413,0.0007351859366703934,-0.022943232291003264,0.02199324397632217,0.014881608211375448,0.019347617491281464
2024,20,2023-12-31,714,252,252,0.017123731908082546,0.0026700966608312706,-0.031097065357795793,0.04484565965825157,0.030522975700003733,0.03702238566402076
2024,60,2023-12-31,674,252,252,0.04057878727285649,0.012276956898463202,-0.05803726274465617,0.08227315703949953,0.04325307270073906,0.05481216003413885
2025,5,2024-12-31,981,250,250,0.0030015826954164753,-0.00024796391147737434,-0.035977774006762005,0.06303470628643804,0.018386567658388593,0.024759533686484737
2025,20,2024-12-31,966,250,250,0.012384803160695373,-0.007911041241626473,-0.10459272645542633,0.08730195962266449,0.04595689922000142,0.06202195566500157
2025,60,2024-12-31,926,250,250,0.037949191403858246,-0.01248806410725609,-0.19604100866287044,0.11305444720173072,0.09929709010205129,0.13534558803882102
2026_ytd,5,2025-12-31,1231,157,152,0.003606306754589761,0.0021548161008682685,-0.011771794830988929,0.017021450050111207,0.014693516766340828,0.01906484345384804
2026_ytd,20,2025-12-31,1216,157,137,0.014305709930289423,0.0048777411542716784,-0.034521570091363606,0.04793267577291718,0.042637599409341746,0.049097566172507996
2026_ytd,60,2025-12-31,1176,157,97,0.06345833429021713,0.019720259913175192,-0.05582371576139962,0.11030649202762409,0.06194393661803358,0.07382689723036845
