experiment_id,model_name,fold,target_type,target,horizon,sample_sha256,primary_metric,primary_baseline,primary_vix,primary_improvement,secondary_metric,secondary_baseline,secondary_vix,secondary_improvement,vix_primary_improved
EXP-003,hist_gradient_boosting_v1,2024,classification,p_up_20d,20,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,brier_score,0.3510914075783494,0.3058952762834541,0.0451961312948953,relative_brier_improvement,-1.0577488460411169,-0.7928540493866607,0.26489479665445614,True
EXP-003,hist_gradient_boosting_v1,2024,classification,p_up_5d,5,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,brier_score,0.3044213479621543,0.3205292964066519,-0.01610794844449759,relative_brier_improvement,-0.313313402241077,-0.382805192867393,-0.069491790626316,False
EXP-003,hist_gradient_boosting_v1,2024,classification,p_up_60d,60,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,brier_score,0.3790342857222906,0.4061504616235938,-0.02711617590130322,relative_brier_improvement,-2.5133839265082973,-2.7647319975105398,-0.25134807100224243,False
EXP-003,hist_gradient_boosting_v1,2024,drawdown_regression,drawdown_20d,20,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,spearman_rank_correlation,0.1774743131553438,0.3074015306375821,0.1299272174822383,rmse,0.0266424522614827,0.0268308794823887,-0.00018842722090599978,True
EXP-003,hist_gradient_boosting_v1,2024,return_regression,return_20d,20,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,spearman_rank_correlation,0.201244335663182,0.1330720783345069,-0.0681722573286751,rmse,0.0375157165554921,0.0400145311505852,-0.0024988145950931018,False
EXP-003,hist_gradient_boosting_v1,2024,return_regression,return_5d,5,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,spearman_rank_correlation,0.0823943075805192,0.0952883365840234,0.012894029003504198,rmse,0.018611941886559,0.020240586230246,-0.001628644343687001,True
EXP-003,hist_gradient_boosting_v1,2024,return_regression,return_60d,60,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,spearman_rank_correlation,0.0940053075857683,0.3493693211344346,0.2553640135486663,rmse,0.0600716178171741,0.0687798495135424,-0.008708231696368293,True
EXP-003,hist_gradient_boosting_v1,2025,classification,p_up_20d,20,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,brier_score,0.4418495296007469,0.301563589838937,0.14028593976180992,relative_brier_improvement,-1.3953157776083511,-0.6348099891520131,0.760505788456338,True
EXP-003,hist_gradient_boosting_v1,2025,classification,p_up_5d,5,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,brier_score,0.3342694209693711,0.3184925634302377,0.015776857539133438,relative_brier_improvement,-0.4308498603236554,-0.3633165683439392,0.06753329197971619,True
EXP-003,hist_gradient_boosting_v1,2025,classification,p_up_60d,60,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,brier_score,0.3140780112139646,0.2333954212524946,0.08068258996147001,relative_brier_improvement,-0.7627402748628576,-0.3099150348671795,0.4528252399956781,True
EXP-003,hist_gradient_boosting_v1,2025,drawdown_regression,drawdown_20d,20,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,spearman_rank_correlation,-0.3320599679816411,-0.4246539861316752,-0.0925940181500341,rmse,0.0476594400115339,0.0444631511306002,0.0031962888809337064,False
EXP-003,hist_gradient_boosting_v1,2025,return_regression,return_20d,20,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,spearman_rank_correlation,-0.4920712331397303,-0.2807733883742139,0.21129784476551638,rmse,0.0569433422824319,0.049556565200013,0.007386777082418895,True
EXP-003,hist_gradient_boosting_v1,2025,return_regression,return_5d,5,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,spearman_rank_correlation,-0.1198771180338885,-0.0966831469303508,0.0231939711035377,rmse,0.0269130379820894,0.0270398009391564,-0.00012676295706700105,True
EXP-003,hist_gradient_boosting_v1,2025,return_regression,return_60d,60,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,spearman_rank_correlation,-0.4796355781692507,-0.4310910574569193,0.048544520712331396,rmse,0.1194008711804392,0.1118628165821023,0.007538054598336896,True
EXP-003,hist_gradient_boosting_v1,2026_ytd,classification,p_up_20d,20,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,brier_score,0.3508324602881136,0.3682102327883281,-0.017377772500214494,relative_brier_improvement,-0.4440294840235974,-0.5155565480710813,-0.07152706404748393,False
EXP-003,hist_gradient_boosting_v1,2026_ytd,classification,p_up_5d,5,21de0e538cc2c52fdca6ab74ee490d5f39fd9934b277cc9b1e2d487b1fd12461,brier_score,0.3040361831725733,0.3142790701696926,-0.010242886997119283,relative_brier_improvement,-0.2654390156762984,-0.308071273140079,-0.042632257463780576,False
EXP-003,hist_gradient_boosting_v1,2026_ytd,classification,p_up_60d,60,a6710585b1b4cb8ebcd509a9a6d07e42bb198291240a337254fb7c5752d358f5,brier_score,0.1067307059313781,0.0955062469798932,0.011224458951484897,relative_brier_improvement,-0.2679661769044661,-0.1346190376689588,0.1333471392355073,True
EXP-003,hist_gradient_boosting_v1,2026_ytd,drawdown_regression,drawdown_20d,20,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,spearman_rank_correlation,-0.2851862396013641,-0.2982960511917191,-0.013109811590355014,rmse,0.0336124593939238,0.0251359028930332,0.0084765565008906,False
EXP-003,hist_gradient_boosting_v1,2026_ytd,return_regression,return_20d,20,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,spearman_rank_correlation,-0.3603897922228237,-0.0134364440793772,0.34695334814344647,rmse,0.0469643938352296,0.0416807442513146,0.005283649583915001,True
EXP-003,hist_gradient_boosting_v1,2026_ytd,return_regression,return_5d,5,21de0e538cc2c52fdca6ab74ee490d5f39fd9934b277cc9b1e2d487b1fd12461,spearman_rank_correlation,-0.0771225883173067,0.0095681353754467,0.08669072369275341,rmse,0.0192242357111899,0.0184711514788987,0.0007530842322912012,True
EXP-003,hist_gradient_boosting_v1,2026_ytd,return_regression,return_60d,60,a6710585b1b4cb8ebcd509a9a6d07e42bb198291240a337254fb7c5752d358f5,spearman_rank_correlation,0.5155691142436355,0.6792157584683356,0.1636466442247001,rmse,0.0447862743073679,0.0405700173685542,0.004216256938813702,True
EXP-004,random_forest_v1,2024,classification,p_up_20d,20,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,brier_score,0.2173515021738609,0.2413511560059728,-0.02399965383211189,relative_brier_improvement,-0.2738984581494108,-0.4145605732351916,-0.1406621150857808,False
EXP-004,random_forest_v1,2024,classification,p_up_5d,5,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,brier_score,0.2404587023464819,0.2436306373396377,-0.003171934993155795,relative_brier_improvement,-0.0373702061012899,-0.0510543473924154,-0.013684141291125496,False
