experiment_id,model_name,full_candidate,classification_cells,classification_mean_brier,classification_mean_log_loss,classification_mean_ece,classification_mean_relative_brier_improvement,classification_positive_relative_brier_cells,classification_positive_relative_brier_folds,return_cells,return_mean_mae,return_mean_rmse,return_mean_spearman,return_positive_spearman_cells,return_positive_spearman_folds,drawdown_cells,drawdown_mean_mae,drawdown_mean_rmse,drawdown_mean_spearman,drawdown_positive_spearman_folds,classification_lane_score,classification_rank,return_lane_score,return_rank,drawdown_lane_score,drawdown_rank,overall_full_candidate_score,overall_full_candidate_rank,promotion_ready,promotion_gate_reason,status
EXP-005,extra_trees_calibrated_v1,True,9,0.1996169671518033,0.6228158616385032,0.10960346340525778,-0.09853732653992849,1,0,9,0.030794793418365638,0.03950635161990335,-0.07816976177971803,4,1,3,0.020908565285750098,0.027535063855281188,-0.03541462372433419,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;return_signal_not_robust_across_folds;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
UST-EXP-001,logistic_l2_v1 [+Treasury],False,9,0.2436394597765326,1.1252585622893592,0.22070284157428588,-0.32465005521827073,0,0,0,,,,0,0,0,,,,0,0.6666666666666666,3.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
UST-EXP-002,ridge_return_v1 [+Treasury],False,0,,,,,0,0,9,0.059146951900317095,0.0686429513401673,-0.16593657165511513,2,0,0,,,,0,,,1.0,4.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
UST-EXP-003,hist_gradient_boosting_v1 [+Treasury],True,9,0.26929636200546186,0.8963047980674362,0.2525031064692871,-0.46984777523506466,0,0,9,0.03535669864959625,0.045373036513089826,-0.06316958685261219,4,1,3,0.02719831149446683,0.036461353540939066,-0.15346039391904348,1,1.0,4.0,0.6666666666666666,3.0,1.0,3.0,0.8888888888888888,3.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;return_signal_not_robust_across_folds;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
UST-EXP-004,random_forest_v1 [+Treasury],True,9,0.22493214445349372,0.6576569415412008,0.18051801547473711,-0.26221513714168704,1,0,9,0.031036212124851408,0.039845891639376775,-0.046084592765202693,5,2,3,0.021562330667261567,0.02856697277313107,-0.021281130657110073,1,0.3333333333333333,2.0,0.0,1.0,0.5,2.0,0.27777777777777773,2.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
