method_id,fold,test_rows,sample_sha256,expected_sample_sha256,sample_hash_matches_stab001,active_rows,active_coverage,active_target_classes,active_target_prevalence,active_roc_auc,all_row_roc_auc_with_abstention,active_top_quartile_prevalence,active_bottom_quartile_prevalence,active_top_quartile_lift,median_active_consensus_weight_share,median_active_feature_count,median_active_family_count
ADAPT-001,2024,252,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,True,232,0.9206349206349206,2,0.5948275862068966,0.5102528522972556,0.4635194499267843,0.7068965517241379,0.7068965517241379,0.11206896551724133,0.9265496111480152,13.0,3.0
ADAPT-001,2025,250,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,True,196,0.784,2,0.3622448979591837,0.4307605633802817,0.4514291359325606,0.2653061224489796,0.42857142857142855,-0.09693877551020408,0.8472574636684267,19.0,3.0
ADAPT-001,2026_ytd,137,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,True,137,1.0,2,0.35036496350364965,0.5596910112359551,0.5596910112359551,0.45714285714285713,0.3142857142857143,0.10677789363920748,0.8837308901963845,15.0,3.0
