diagnostic_id,fold,training_rows,test_rows,training_prevalence,test_prevalence,prevalence_delta,sample_sha256,sample_hash_matches_exp006
DIAG-001,2024,714,252,0.41316526610644255,0.5515873015873016,0.13842203548085907,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,True
DIAG-001,2025,966,250,0.458592132505176,0.416,-0.04259213250517602,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,True
DIAG-001,2026_ytd,1216,137,0.453125,0.35036496350364965,-0.10276003649635035,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,True
