fold,regime,training_rows,training_prevalence,test_rows,test_favorable_rate,global_training_prevalence,training_prevalence_ordering
2024,RATES_RISING,444,0.3963963963963964,120,0.6083333333333333,0.41316526610644255,FALLING_HIGHER
2024,RATES_FALLING_OR_FLAT,270,0.44074074074074077,132,0.5,0.41316526610644255,FALLING_HIGHER
2025,RATES_RISING,555,0.43783783783783786,106,0.4811320754716981,0.458592132505176,FALLING_HIGHER
2025,RATES_FALLING_OR_FLAT,411,0.48661800486618007,144,0.3680555555555556,0.458592132505176,FALLING_HIGHER
2026_ytd,RATES_RISING,654,0.45565749235474007,92,0.42391304347826086,0.453125,RISING_HIGHER
2026_ytd,RATES_FALLING_OR_FLAT,562,0.4501779359430605,45,0.2,0.453125,RISING_HIGHER
