method_id,fold,training_rows,test_rows,sample_sha256,exp006_sample_sha256,sample_hash_matches_exp006,training_prevalence,test_prevalence,selected_feature_count,selected_family_count,selected_features,brier_score,baseline_brier_score,relative_brier_improvement,roc_auc
STAB-001,2024,714,252,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,True,0.41316526610644255,0.5515873015873016,14,3,spx_return_60|spx_distance_ma_200|spx_rebound_from_low_252|fg_min_5|spx_realized_vol_20|spx_realized_vol_5|spx_realized_vol_60|treasury_10y_2y_slope|fg_max_20|fg_min_20|treasury_10y_change_5|interaction_fg_change_5_x_spx_return_5|treasury_slope_change_5|fg_change_1,0.36384171626945205,0.266499410221605,-0.36526274473516845,0.626599605271535
STAB-001,2025,966,250,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,True,0.458592132505176,0.416,26,3,spx_distance_ma_200|spx_return_60|spx_rebound_from_low_252|spx_realized_vol_60|spx_realized_vol_20|spx_distance_ma_50|spx_distance_high_252|spx_distance_high_60|spx_drawdown_252|spx_drawdown_60|spx_rebound_from_low_60|fg_percentile_252|fg_min_20|spx_realized_vol_5|interaction_fg_x_drawdown_20|spx_distance_high_20|spx_drawdown_20|spx_rebound_from_low_20|spx_distance_ma_20|spx_return_20|spx_return_10|spx_return_5|treasury_10y_change_1|fg_change_5|fg_distance_from_min_5|spx_return_3,0.30550885811161266,0.24475808975133842,-0.2482073970343284,0.5367492096944151
STAB-001,2026_ytd,1216,137,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,True,0.453125,0.35036496350364965,17,3,treasury_10y_2y_slope|treasury_slope_change_20|spx_distance_ma_200|treasury_2y_level|fg_distance_from_min_20|spx_rebound_from_low_252|spx_distance_high_252|spx_drawdown_252|spx_return_60|spx_realized_vol_20|spx_distance_high_60|spx_drawdown_60|treasury_10y_change_1|spx_realized_vol_5|treasury_2y_change_5|treasury_10y_level|fg_distance_from_max_20,0.2674068262186723,0.23816898095346714,-0.12276092859849606,0.5564138576779026
