experiment_id,model_name,full_candidate,classification_cells,classification_mean_brier,classification_mean_log_loss,classification_mean_ece,classification_mean_relative_brier_improvement,classification_positive_relative_brier_cells,classification_positive_relative_brier_folds,return_cells,return_mean_mae,return_mean_rmse,return_mean_spearman,return_positive_spearman_cells,return_positive_spearman_folds,drawdown_cells,drawdown_mean_mae,drawdown_mean_rmse,drawdown_mean_spearman,drawdown_positive_spearman_folds,classification_lane_score,classification_rank,return_lane_score,return_rank,drawdown_lane_score,drawdown_rank,overall_full_candidate_score,overall_full_candidate_rank,promotion_ready,promotion_gate_reason,status
BASE-EXP-001,logistic_l2_v1 [baseline],False,9,0.28077767377146706,0.8625678386121719,0.23273436645421391,-0.6212428503544066,0,0,0,,,,0,0,0,,,,0,0.4,3.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
BASE-EXP-002,ridge_return_v1 [baseline],False,0,,,,,0,0,9,0.04128591848736391,0.0528109497151636,-0.15401692323548746,1,1,0,,,,0,,,0.8,5.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
BASE-EXP-003,hist_gradient_boosting_v1 [baseline],True,9,0.32070481693766023,0.9722580116900159,0.3025537598852711,-0.8278651960210797,0,0,9,0.03830370290410448,0.04782571461755257,-0.0706536938677661,4,2,3,0.02844447809577773,0.0359714505556468,-0.14659063147588713,1,1.0,6.0,0.6,4.0,0.6666666666666666,3.0,0.7555555555555555,4.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
BASE-EXP-004,random_forest_v1 [baseline],True,9,0.23196905012521585,0.6622280885549738,0.18395890449722846,-0.2932141213559629,1,0,9,0.03252965183932593,0.041227301915333886,-0.10007883117207171,4,2,3,0.021771468289908235,0.0283483155866907,0.0006447247615613318,1,0.2,2.0,0.2,2.0,0.0,1.0,0.13333333333333333,2.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
UST-EXP-001,logistic_l2_v1 [+Treasury],False,9,0.243639159176941,1.1252627728064102,0.22070245173946915,-0.3246473002999291,0,0,0,,,,0,0,0,,,,0,0.4,3.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
UST-EXP-002,ridge_return_v1 [+Treasury],False,0,,,,,0,0,9,0.05914695190031692,0.06864295134016712,-0.16593657165511513,2,0,0,,,,0,,,1.0,6.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
UST-EXP-003,hist_gradient_boosting_v1 [+Treasury],True,9,0.26929636200546186,0.8963047980674362,0.2525031064692871,-0.46984777523506466,0,0,9,0.03535669864959625,0.045373036513089826,-0.06316958685261219,4,1,3,0.02719831149446683,0.036461353540939066,-0.15346039391904348,1,0.8,5.0,0.2,2.0,1.0,4.0,0.6666666666666666,3.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;return_signal_not_robust_across_folds;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
UST-EXP-004,random_forest_v1 [+Treasury],True,9,0.22493214445349372,0.6576569415412008,0.18051801547473711,-0.26221513714168704,1,0,9,0.031036212124851408,0.039845891639376775,-0.046084592765202693,5,2,3,0.021562330667261567,0.02856697277313107,-0.021281130657110073,1,0.0,1.0,0.0,1.0,0.3333333333333333,2.0,0.1111111111111111,1.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
