experiment_id,model_name,target_type,primary_metric,aggregate_primary_improvement,improved_folds,total_folds,robust_improvement
EXP-001,logistic_l2_v1,classification,brier_score,-0.0038754332141718428,2,3,False
EXP-002,ridge_return_v1,return_regression,spearman_rank_correlation,0.0340730008942401,3,3,True
EXP-003,hist_gradient_boosting_v1,classification,brier_score,-0.003712344766843052,2,3,False
EXP-003,hist_gradient_boosting_v1,drawdown_regression,spearman_rank_correlation,-0.029776331510749588,2,3,False
EXP-003,hist_gradient_boosting_v1,return_regression,spearman_rank_correlation,0.024176811046968213,2,3,True
EXP-004,random_forest_v1,classification,brier_score,-0.0038052250432922523,1,3,False
EXP-004,random_forest_v1,drawdown_regression,spearman_rank_correlation,-0.0636834747423647,1,3,False
EXP-004,random_forest_v1,return_regression,spearman_rank_correlation,0.02748361803159984,2,3,True
