fold,state,count,share
2024,BAD,39,0.15476190476190477
2024,NORMAL,74,0.29365079365079366
2024,GOOD,123,0.4880952380952381
2024,EXCELLENT,16,0.06349206349206349
2025,BAD,56,0.224
2025,NORMAL,90,0.36
2025,GOOD,84,0.336
2025,EXCELLENT,20,0.08
2026_ytd,BAD,30,0.21897810218978103
2026_ytd,NORMAL,59,0.4306569343065693
2026_ytd,GOOD,22,0.16058394160583941
2026_ytd,EXCELLENT,26,0.1897810218978102
