experiment_id,model_name,full_candidate,classification_cells,classification_mean_brier,classification_mean_log_loss,classification_mean_ece,classification_mean_relative_brier_improvement,classification_positive_relative_brier_cells,classification_positive_relative_brier_folds,return_cells,return_mean_mae,return_mean_rmse,return_mean_spearman,return_positive_spearman_cells,return_positive_spearman_folds,drawdown_cells,drawdown_mean_mae,drawdown_mean_rmse,drawdown_mean_spearman,drawdown_positive_spearman_folds,classification_lane_score,classification_rank,return_lane_score,return_rank,drawdown_lane_score,drawdown_rank,overall_full_candidate_score,overall_full_candidate_rank,promotion_ready,promotion_gate_reason,status
BASE-EXP-001,logistic_l2_v1 [baseline],False,9,0.28077767377146706,0.8625678386121719,0.23273436645421391,-0.6212428503544066,0,0,0,,,,0,0,0,,,,0,0.4,3.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
BASE-EXP-002,ridge_return_v1 [baseline],False,0,,,,,0,0,9,0.04128591848736391,0.0528109497151636,-0.15401692323548746,1,1,0,,,,0,,,0.8,5.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
BASE-EXP-003,hist_gradient_boosting_v1 [baseline],True,9,0.32070481693766023,0.9722580116900159,0.3025537598852711,-0.8278651960210797,0,0,9,0.03830370290410448,0.04782571461755257,-0.0706536938677661,4,2,3,0.02844447809577773,0.0359714505556468,-0.14659063147588713,1,0.6,4.0,0.2,2.0,0.6666666666666666,3.0,0.48888888888888893,3.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
BASE-EXP-004,random_forest_v1 [baseline],True,9,0.23196905012521585,0.6622280885549738,0.18395890449722846,-0.2932141213559629,1,0,9,0.03252965183932593,0.041227301915333886,-0.10007883117207171,4,2,3,0.021771468289908235,0.0283483155866907,0.0006447247615613318,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
VIX-EXP-001,logistic_l2_v1 [+VIX],False,9,0.4220315658343361,1.617129125004956,0.411511434452705,-1.7239571308980668,0,0,0,,,,0,0,0,,,,0,1.0,6.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
VIX-EXP-002,ridge_return_v1 [+VIX],False,0,,,,,0,0,9,0.059219493291320306,0.07065929128268564,-0.07695574842285412,4,1,0,,,,0,,,0.8,5.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
VIX-EXP-003,hist_gradient_boosting_v1 [+VIX],True,9,0.36355102742393886,1.1056461086036198,0.3597818766868598,-1.146021863974962,0,0,9,0.04172041595892873,0.05125600763852597,-0.0699383810397139,3,2,3,0.0313498988244627,0.0389853880681633,-0.18343210536029594,1,0.8,5.0,0.6,4.0,1.0,4.0,0.7999999999999999,4.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
VIX-EXP-004,random_forest_v1 [+VIX],True,9,0.24435440112204043,0.6902648929209624,0.20723793167287438,-0.40175297548569217,0,0,9,0.034584746926825415,0.04313967546091709,-0.1184684080897843,4,2,3,0.022903213907481266,0.02922119696146667,-0.05906278014620423,1,0.2,2.0,0.4,3.0,0.3333333333333333,2.0,0.3111111111111111,2.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
