method_id,fold,training_rows,calibration_rows,test_rows,sample_sha256,stab001_sample_sha256,sample_hash_matches_stab001,training_prevalence,test_prevalence,outer_selected_feature_count,outer_selected_family_count,inner_support_pass,platt_slope,platt_intercept,platt_positive_slope,brier_score,baseline_brier_score,relative_brier_improvement,raw_stab001_brier_score,brier_improvement_vs_raw_stab001,expected_calibration_error,raw_stab001_expected_calibration_error,roc_auc
STAB-002,2024,714,240,252,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,True,0.41316526610644255,0.5515873015873016,14,3,True,-0.16937657707473264,-0.07804824539067748,False,0.266499410221605,0.266499410221605,0.0,0.36384171626945205,0.09734230604784705,0.13842203548085902,0.3520574896625317,0.5
STAB-002,2025,966,240,250,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,True,0.458592132505176,0.416,26,3,True,0.4278854062699294,0.3984044414307928,True,0.2746133237727029,0.24475808975133842,-0.12197853828527538,0.30550885811161266,0.030895534338909736,0.17981104152568805,0.21300207039337477,0.5364857744994731
STAB-002,2026_ytd,1216,240,137,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,True,0.453125,0.35036496350364965,17,3,True,-0.192011390060441,-0.2069528304627589,False,0.23816898095346714,0.23816898095346714,0.0,0.2674068262186723,0.029237845265205148,0.10276003649635035,0.22474668651555899,0.5
