experiment_id,model_name,full_candidate,classification_cells,classification_mean_brier,classification_mean_log_loss,classification_mean_ece,classification_mean_relative_brier_improvement,classification_positive_relative_brier_cells,classification_positive_relative_brier_folds,return_cells,return_mean_mae,return_mean_rmse,return_mean_spearman,return_positive_spearman_cells,return_positive_spearman_folds,drawdown_cells,drawdown_mean_mae,drawdown_mean_rmse,drawdown_mean_spearman,drawdown_positive_spearman_folds,classification_lane_score,classification_rank,return_lane_score,return_rank,drawdown_lane_score,drawdown_rank,overall_full_candidate_score,overall_full_candidate_rank,promotion_ready,promotion_gate_reason,status
BASE-EXP-001,logistic_l2_v1 [baseline],False,9,0.28077767377146706,0.8625678386121719,0.23273436645421391,-0.6212428503544066,0,0,0,,,,0,0,0,,,,0,0.4,3.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
BASE-EXP-002,ridge_return_v1 [baseline],False,0,,,,,0,0,9,0.04128591848736391,0.0528109497151636,-0.15401692323548746,1,1,0,,,,0,,,1.0,6.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
BASE-EXP-003,hist_gradient_boosting_v1 [baseline],True,9,0.32070481693766023,0.9722580116900159,0.3025537598852711,-0.8278651960210797,0,0,9,0.03830370290410448,0.04782571461755257,-0.0706536938677661,4,2,3,0.02844447809577773,0.0359714505556468,-0.14659063147588713,1,1.0,6.0,0.6,4.0,1.0,4.0,0.8666666666666667,4.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
BASE-EXP-004,random_forest_v1 [baseline],True,9,0.23196905012521585,0.6622280885549738,0.18395890449722846,-0.2932141213559629,1,0,9,0.03252965183932593,0.041227301915333886,-0.10007883117207171,4,2,3,0.021771468289908235,0.0283483155866907,0.0006447247615613318,1,0.0,1.0,0.4,3.0,0.3333333333333333,2.0,0.24444444444444446,2.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
USD-EXP-001,logistic_l2_v1 [+Dollar],False,9,0.2748075050032286,1.1589595113646474,0.24841465404047153,-0.6075068020387868,0,0,0,,,,0,0,0,,,,0,0.6,4.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
USD-EXP-002,ridge_return_v1 [+Dollar],False,0,,,,,0,0,9,0.04497547401941011,0.054649486771547455,0.01675741865230261,6,2,0,,,,0,,,0.8,5.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY
USD-EXP-003,hist_gradient_boosting_v1 [+Dollar],True,9,0.29600246208592035,0.9882601418124026,0.29182906062427566,-0.6896310767786493,0,0,9,0.03734955996706938,0.04646845141271253,0.049392177006209556,5,2,3,0.0240833256495367,0.032143311168674034,-0.13851616889527074,1,0.8,5.0,0.2,2.0,0.6666666666666666,3.0,0.5555555555555555,3.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY
USD-EXP-004,random_forest_v1 [+Dollar],True,9,0.2324477585527783,0.6744413165197428,0.21314108356531525,-0.3045250463000295,0,0,9,0.031648643397539394,0.039725861554947874,-0.021550627574354428,4,2,3,0.021088885571665102,0.0281003051634745,0.002462856748391381,2,0.2,2.0,0.0,1.0,0.0,1.0,0.06666666666666667,1.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive,NOT_PROMOTION_READY
