method_id,fold,training_rows,test_rows,consensus_feature_count,representative_cluster_count,support_pass,roc_auc,full_test_prevalence,strong_favorable_count,strong_favorable_prevalence,strong_unfavorable_count,strong_unfavorable_prevalence,favorable_enrichment,unfavorable_depletion,non_abstain_coverage,sample_sha256,expected_exp006_sample_sha256,sample_hash_matches_exp006
STAB-004,2024,714,252,7,6,True,0.6214426688737507,0.5515873015873016,34,0.7647058823529411,54,0.5555555555555556,0.2131185807656395,-0.003968253968253954,0.3492063492063492,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,d66e7d6947dd26137fae8b72924c4c614500757efb664f91cda4a93b99fa1bd9,True
STAB-004,2025,966,250,4,4,True,0.6623419388830347,0.416,84,0.38095238095238093,54,0.12962962962962962,-0.03504761904761905,0.2863703703703704,0.552,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,fe8ac620165747e8722b7472d73a5d634bc04f3dc36e505c1452c97112414bac,True
STAB-004,2026_ytd,1216,137,6,3,True,0.7312734082397003,0.35036496350364965,25,0.64,21,0.047619047619047616,0.28963503649635036,0.30274591588460203,0.3357664233576642,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,65e5aa72ceb663a95e87e233d77a5fa3ea6390a806bd27b7e60d866db8edb8ed,True
