experiment_id,model_name,target_type,primary_metric,aggregate_primary_improvement,improved_folds,total_folds,robust_improvement
EXP-001,logistic_l2_v1,classification,brier_score,0.012491489403164783,2,3,True
EXP-002,ridge_return_v1,return_regression,spearman_rank_correlation,0.2120572589620337,2,3,True
EXP-003,hist_gradient_boosting_v1,classification,brier_score,0.053144979041680654,2,3,True
EXP-003,hist_gradient_boosting_v1,drawdown_regression,spearman_rank_correlation,0.029664852787955536,2,3,True
EXP-003,hist_gradient_boosting_v1,return_regression,spearman_rank_correlation,0.16497049092176702,3,3,True
EXP-004,random_forest_v1,classification,brier_score,0.007493538062983535,1,3,False
EXP-004,random_forest_v1,drawdown_regression,spearman_rank_correlation,-0.015094220130605537,2,3,False
EXP-004,random_forest_v1,return_regression,spearman_rank_correlation,0.13110777266847157,3,3,True
