fold,sentiment_state,training_rows,training_prevalence,minimum_rows_pass,both_target_classes,test_rows,test_favorable_rate,global_training_prevalence,training_prevalence_ordering
2024,EXTREME_FEAR,104,0.5673076923076923,True,True,6,0.8333333333333334,0.41316526610644255,NOT_HYPOTHESIZED_ORDER
2024,NEUTRAL_RANGE,561,0.3868092691622103,True,True,231,0.5238095238095238,0.41316526610644255,NOT_HYPOTHESIZED_ORDER
2024,EXTREME_GREED,49,0.3877551020408163,False,True,15,0.8666666666666667,0.41316526610644255,NOT_HYPOTHESIZED_ORDER
2025,EXTREME_FEAR,109,0.5779816513761468,True,True,58,0.3103448275862069,0.458592132505176,NOT_HYPOTHESIZED_ORDER
2025,NEUTRAL_RANGE,785,0.43439490445859874,True,True,184,0.46195652173913043,0.458592132505176,NOT_HYPOTHESIZED_ORDER
2025,EXTREME_GREED,72,0.5416666666666666,True,True,8,0.125,0.458592132505176,NOT_HYPOTHESIZED_ORDER
2026_ytd,EXTREME_FEAR,167,0.49101796407185627,True,True,22,0.6363636363636364,0.453125,NOT_HYPOTHESIZED_ORDER
2026_ytd,NEUTRAL_RANGE,969,0.44272445820433437,True,True,115,0.2956521739130435,0.453125,NOT_HYPOTHESIZED_ORDER
2026_ytd,EXTREME_GREED,80,0.5,True,True,0,,0.453125,NOT_HYPOTHESIZED_ORDER
