fold,target,horizon,training_rows,realized_rows,actual_up_rate,mean_actual,mean_prediction,brier_score,log_loss,mae,rmse
2024,p_up_5d,5,729,252,0.6349206349206349,,0.4709558604159724,0.30442134796215436,0.8365795810119949,,
2024,return_5d,5,729,252,,0.003872768365974413,-0.001660919393492598,,,0.014901669420278825,0.018611941886559052
2024,p_up_20d,20,714,252,0.7817460317460317,,0.4604767021781482,0.3510914075783494,1.0425708226770618,,
2024,return_20d,20,714,252,,0.017123731908082546,-0.007813941055038055,,,0.03077419120406161,0.03751571655549219
2024,p_up_60d,60,674,252,0.876984126984127,,0.4795163732202794,0.37903428572229064,1.1513497181185142,,
2024,return_60d,60,674,252,,0.04057878727285649,0.0015373903822587186,,,0.05058347228248286,0.0600716178171741
2024,drawdown_20d,20,714,252,,-0.02239760083834404,-0.037599545673404414,,,0.022765781554664744,0.026642452261482798
2025,p_up_5d,5,981,250,0.628,,0.59183421649386,0.3342694209693711,0.9361457235301874,,
2025,return_5d,5,981,250,,0.0030015826954164753,0.0024748566929961484,,,0.01931440249159074,0.02691303798208943
2025,p_up_20d,20,966,250,0.756,,0.6436351816898732,0.4418495296007469,1.4155929295776226,,
2025,return_20d,20,966,250,,0.012384803160695373,0.008700620953718466,,,0.04431839899748647,0.056943342282431954
2025,p_up_60d,60,926,250,0.768,,0.7653162746592513,0.3140780112139646,1.0339708657008793,,
2025,return_60d,60,926,250,,0.037949191403858246,0.012592441453756983,,,0.09233241224348251,0.11940087118043925
2025,drawdown_20d,20,966,250,,-0.0321766644171055,-0.03439375103854747,,,0.03678196826023913,0.04765944001153399
2026_ytd,p_up_5d,5,1231,152,0.5986842105263158,,0.653488515747302,0.3040361831725733,0.8313176759870607,,
2026_ytd,return_5d,5,1231,152,,0.003606306754589761,0.003657494345440303,,,0.015266946557473937,0.01922423571118997
2026_ytd,p_up_20d,20,1216,137,0.583941605839416,,0.7708516646340563,0.3508324602881136,1.0803847290659487,,
2026_ytd,return_20d,20,1216,137,,0.014305709930289423,0.014201971131399954,,,0.03998710591725703,0.04696439383522965
2026_ytd,p_up_60d,60,1176,97,0.9072164948453608,,0.92154580488854,0.10673070593137819,0.4224100595408733,,
2026_ytd,return_60d,60,1176,97,,0.06345833429021713,0.048541655566418325,,,0.03725472702282662,0.04478627430736799
2026_ytd,drawdown_20d,20,1216,137,,-0.027285582783596385,-0.032521414434149305,,,0.02578568447242942,0.033612459393923814
