fold,horizon,training_cutoff,training_rows,prediction_rows,realized_rows,actual_up_rate,mean_predicted_probability,minimum_predicted_probability,maximum_predicted_probability,brier_score,log_loss
2024,5,2023-12-31,729,252,252,0.6349206349206349,0.5577967878305292,0.18259428211617343,0.8513732519615316,0.2643468595250132,0.7273156572150128
2024,20,2023-12-31,714,252,252,0.7817460317460317,0.630460900382283,0.31458192618879366,0.9407665383009584,0.24261594882831053,0.6949355458044152
2024,60,2023-12-31,674,252,252,0.876984126984127,0.715556504010659,0.13057241442243703,0.9808601918127325,0.17940247842412857,0.5315073087614355
2025,5,2024-12-31,981,250,250,0.628,0.5822816450327123,0.19522958475932023,0.9669262434649437,0.2693264718946294,0.7363706249740508
2025,20,2024-12-31,966,250,250,0.756,0.5524417461247547,0.05318368834012532,0.9582760917503804,0.3019978760323695,0.8631093422167376
2025,60,2024-12-31,926,250,250,0.768,0.5710700920250086,0.00024212975688029016,0.9799780414871632,0.4784147517967416,1.9952781217887143
2026_ytd,5,2025-12-31,1231,157,152,0.5986842105263158,0.6157642117043924,0.3636993289505549,0.8903159981701767,0.24996987914457797,0.6937551725308003
2026_ytd,20,2025-12-31,1216,157,137,0.583941605839416,0.663056266042383,0.2182424437799441,0.9526664877817668,0.33177191387083843,0.9162437946566571
2026_ytd,60,2025-12-31,1176,157,97,0.9072164948453608,0.6444500129203079,0.14069483675532285,0.9925022259872512,0.2091551592469009,0.6046048707713367
